Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,Country Name,Country Code,Indicator Name,Indicator Code,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994
Aruba,ABW,"Population, total",SP.POP.TOTL,54608,55811,56682,57475,58178,Aruba,ABW,"Population, total",SP.POP.TOTL,59192,60072.4,60952.8,61833.2,62713.6,63594,64474.4,65354.8,66235.2,67115.6,67996,68876.4,69756.8,70637.2,71517.6,72398,73278.4,74158.8,75039.2,75919.6,76800,77680.4,78560.8,79441.2,80321.6,81202,82082.4,82962.8,83843.2,84723.6
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,130692579,134169237,137835590,141630546,145605995,Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,149173231.7,152902045.8,156630859.9,160359674,164088488.1,167817302.2,171546116.3,175274930.4,179003744.5,182732558.6,186461372.7,190190186.8,193919000.9,197647815,201376629.1,205105443.2,208834257.3,212563071.4,216291885.5,220020699.6,223749513.7,227478327.8,231207141.9,234935956,238664770.1,242393584.2,246122398.3,249851212.4,253580026.5,257308840.6
Afghanistan,AFG,"Population, total",SP.POP.TOTL,8622466,8790140,8969047,9157465,9355514,Afghanistan,AFG,"Population, total",SP.POP.TOTL,9528952.7,9712294.8,9895636.9,10078979,10262321.1,10445663.2,10629005.3,10812347.4,10995689.5,11179031.6,11362373.7,11545715.8,11729057.9,11912400,12095742.1,12279084.2,12462426.3,12645768.4,12829110.5,13012452.6,13195794.7,13379136.8,13562478.9,13745821,13929163.1,14112505.2,14295847.3,14479189.4,14662531.5,14845873.6
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,97256290,99314028,101445032,103667517,105959979,Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,108056829.3,110232916,112409002.7,114585089.4,116761176.1,118937262.8,121113349.5,123289436.2,125465522.9,127641609.6,129817696.3,131993783,134169869.7,136345956.4,138522043.1,140698129.8,142874216.5,145050303.2,147226389.9,149402476.6,151578563.3,153754650,155930736.7,158106823.4,160282910.1,162458996.8,164635083.5,166811170.2,168987256.9,171163343.6
Angola,AGO,"Population, total",SP.POP.TOTL,5357195,5441333,5521400,5599827,5673199,Angola,AGO,"Population, total",SP.POP.TOTL,5755741.4,5834791.6,5913841.8,5992892,6071942.2,6150992.4,6230042.6,6309092.8,6388143,6467193.2,6546243.4,6625293.6,6704343.8,6783394,6862444.2,6941494.4,7020544.6,7099594.8,7178645,7257695.2,7336745.4,7415795.6,7494845.8,7573896,7652946.2,7731996.4,7811046.6,7890096.8,7969147,8048197.2
Albania,ALB,"Population, total",SP.POP.TOTL,1608800,1659800,1711319,1762621,1814135,Albania,ALB,"Population, total",SP.POP.TOTL,1865382.3,1916731.4,1968080.5,2019429.6,2070778.7,2122127.8,2173476.9,2224826,2276175.1,2327524.2,2378873.3,2430222.4,2481571.5,2532920.6,2584269.7,2635618.8,2686967.9,2738317,2789666.1,2841015.2,2892364.3,2943713.4,2995062.5,3046411.6,3097760.7,3149109.8,3200458.9,3251808,3303157.1,3354506.2
Andorra,AND,"Population, total",SP.POP.TOTL,9443,10216,11014,11839,12690,13563,14546,15745,17079,18449,19860,21322,22832,24393,32574,34142,35611,36987,38598,47635,49654,51639,53569,55434,64147,64682,65186,65655,66097,79826,80221,78168,76055,73852,71621,71746,72540,73837,75013
Arab World,ARB,"Population, total",SP.POP.TOTL,93359407,95760348,98268683,100892507,103618568,106444103,109394536,112499764,115729597,119061868,122475578,125979765,129605560,133384981,156741680,162014425,167707208,173118753,178587926,207894127,213455083,219021375,225923327,230837072,261953764,268158920,274376380,280650496,287065982,320558754,328703057,337498222,346630443,355754908,397922915,406501999,415077960,423664839,432545676
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,133426,140984,148877,157006,165305,173797,182509,191404,213582,253261,298084,344513,392368,441546,805231,908452,1014048,1100180,1167856,1575909,1683681,1791840,1900151,2008383,2572735,2746119,2921130,3097563,3275333,4280993,4898954,5872624,6988685,7992644,8835951,8916899,8994263,9068296,9140169
Argentina,ARG,"Population, total",SP.POP.TOTL,20349744,20680653,21020359,21364017,21708487,22053661,22403116,22757014,23112971,23472028,23842803,24223379,24612794,25020588,27146121,27584134,28024803,28471285,28922762,31216453,31690792,32165766,32637657,33105763,35389362,35815971,36233195,36653031,37070774,39070501,39476851,39876111,40273769,40684338,42669500,43131966,43590368,44044811,44494502
Armenia,ARM,"Population, total",SP.POP.TOTL,1904148,1971530,2039346,2106142,2171029,2234051,2295496,2355997,2416461,2476359,2534377,2590923,2648048,2706852,3038224,3097058,3135123,3167876,3202011,3351364,3366838,3448186,3556539,3617631,3298898,3271418,3240550,3206030,3168523,3047246,3026486,3004393,2983421,2964296,2889930,2878595,2865835,2851923,2836557
American Samoa,ASM,"Population, total",SP.POP.TOTL,20085,20626,21272,21949,22656,23391,24122,24848,25608,26396,27075,27593,28063,28529,31428,32045,32886,34059,35367,42842,44532,46288,47818,48992,54500,55578,56603,57594,58230,57254,56837,56383,55891,55366,52217,51368,50448,49463,48424
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,55342,56245,57008,57778,58664,59644,60615,61617,62658,63742,64517,64769,64695,64463,64329,64609,64889,65076,65231,64353,63982,63636,63328,63634,69798,71218,72572,73821,75055,79869,80895,82016,83251,84534,89236,89941,90564,91119,91626
Australia,AUS,"Population, total",SP.POP.TOTL,10276477,10483000,10742000,10950000,11167000,11388000,11651000,11799000,12009000,12263000,12507000,12937000,13177000,13380000,14358000,14514000,14692000,14923260,15184247,16263874,16532164,16814416,17065128,17284036,18224767,18423037,18607584,18812264,19028802,20176844,20450966,20827622,21249199,21691653,23475686,23815995,24190907,24592588,24963258
Austria,AUT,"Population, total",SP.POP.TOTL,7047539,7086299,7129864,7175811,7223801,7270889,7322066,7376998,7415403,7441055,7467086,7500482,7544201,7586115,7562305,7549425,7549433,7568710,7574140,7574586,7585317,7619567,7677850,7754891,7959017,7968041,7976789,7992324,8011566,8227829,8268641,8295487,8321496,8343323,8546356,8642699,8736668,8797566,8840521
